process,systematic,variation,bin,edge_lo,edge_hi,value
Other,Higgs_CMS_eff_e_reco_below20,Up,6,0.0024498090280613213,0.0029563838476912704,0.06233958976445225
Other,Higgs_CMS_eff_e_reco_below20,Up,7,0.0029563838476912704,0.003557510286689314,0.06922411166182163
Other,Higgs_CMS_eff_e_reco_below20,Up,8,0.003557510286689314,0.004267894997991053,0.07865202221255652
Other,Higgs_CMS_eff_e_reco_below20,Up,9,0.004267894997991053,0.0050779368864586815,0.08470479056456459
Other,Higgs_CMS_eff_e_reco_below20,Up,10,0.0050779368864586815,0.006105206239196243,0.0870408154002828
Other,Higgs_CMS_eff_e_reco_below20,Up,11,0.006105206239196243,0.007522517248260182,0.10131233669579887
Other,Higgs_CMS_eff_e_reco_below20,Up,12,0.007522517248260182,0.009719243336259968,0.12410245732402148
Other,Higgs_CMS_eff_e_reco_below20,Up,13,0.009719243336259968,0.013643487834444395,0.21687160832141572
Other,Higgs_CMS_eff_e_reco_below20,Up,14,0.013643487834444395,0.022087249077993153,0.7083651876801567
Other,Higgs_CMS_eff_e_reco_below20,Up,15,0.022087249077993153,0.04393358703334,2.558179859229967
Other,Higgs_CMS_eff_e_reco_below20,Up,16,0.04393358703334,0.10073404070562539,5.67624386093465
Other,Higgs_CMS_eff_e_reco_below20,Up,17,0.10073404070562539,0.23767632438315117,9.218859839063597
Other,Higgs_CMS_eff_e_reco_below20,Up,18,0.23767632438315117,0.4957539730742803,14.47885444490285
Other,Higgs_CMS_eff_e_reco_below20,Up,19,0.4957539730742803,1.0,23.884481326477186
Other,Higgs_CMS_pileup,Down,0,0.0,0.0009567917389306952,0.020810147371079602
Other,Higgs_CMS_pileup,Down,1,0.0009567917389306952,0.0011761846848516988,0.024425081591921836
Other,Higgs_CMS_pileup,Down,2,0.0011761846848516988,0.0014056492364034057,0.027917754424449208
Other,Higgs_CMS_pileup,Down,3,0.0014056492364034057,0.0016879615058736856,0.03194736151504114
Other,Higgs_CMS_pileup,Down,4,0.0016879615058736856,0.002029518495153339,0.03600829264995306
Other,Higgs_CMS_pileup,Down,5,0.002029518495153339,0.0024498090280613213,0.04925127820876454
Other,Higgs_CMS_pileup,Down,6,0.0024498090280613213,0.0029563838476912704,0.05912853732604181
Other,Higgs_CMS_pileup,Down,7,0.0029563838476912704,0.003557510286689314,0.06580744630809476
Other,Higgs_CMS_pileup,Down,8,0.003557510286689314,0.004267894997991053,0.07491493244044123
Other,Higgs_CMS_pileup,Down,9,0.004267894997991053,0.0050779368864586815,0.08181955979421424
Other,Higgs_CMS_pileup,Down,10,0.0050779368864586815,0.006105206239196243,0.08499708959339086
Other,Higgs_CMS_pileup,Down,11,0.006105206239196243,0.007522517248260182,0.09930776018053167
Other,Higgs_CMS_pileup,Down,12,0.007522517248260182,0.009719243336259968,0.12214642208268756
Other,Higgs_CMS_pileup,Down,13,0.009719243336259968,0.013643487834444395,0.20942099693197735
Other,Higgs_CMS_pileup,Down,14,0.013643487834444395,0.022087249077993153,0.690992299902842
